"","Pair.Name","Ligand","Ligand.Name","Receptor","Receptor.Name","complex_pair","source","target","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","sources","references","curation_effort","n_references","n_resources","annotation_strategy","True_LR"
"1","S100A10_TRPV6","S100A10","S100 calcium binding protein A10","TRPV6","transient receptor potential cation channel subfamily V member 6",NA,"P60903","Q9H1D0",1,1,0,1,1,0,"CellTalkDB;HPRD;TRIP","CellTalkDB:18187190;HPRD:12660155;TRIP:12660155;TRIP:16189514;TRIP:18187190",5,3,3,"both",TRUE
"2","JAG2_NOTCH1","JAG2","jagged canonical Notch ligand 2","NOTCH1","notch receptor 1",NA,"Q9Y219","P46531",1,1,1,1,1,0,"Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr","Baccin2019:1100613311006130;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;HPRD:11006133;ICELLNET:16921404;ICELLNET:21352254;ICELLNET:22503540;LRdb:11006133;NetPath:11006133;SIGNOR:9315665;SignaLink3:10958687;SignaLink3:11006133;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11006133",19,11,20,"both",TRUE
"3","DLL1_NOTCH1","DLL1","delta like canonical Notch ligand 1","NOTCH1","notch receptor 1",NA,"O00548","P46531",1,1,0,1,1,0,"Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr","Baccin2019:1006133;Baccin2019:98194281;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;Cellinker:9819428;HPRD:11006133;ICELLNET:21685328;LRdb:11;LRdb:9819428;NetPath:11006133;SIGNOR:16140393;SPIKE:11006133;SPIKE:17537801;connectomeDB2020:11006133;connectomeDB2020:9819428",18,9,20,"both",TRUE
"4","IGF1_IGF1R","IGF1","insulin like growth factor 1","IGF1R","insulin like growth factor 1 receptor",NA,"P05019","P08069",1,1,0,1,1,0,"Baccin2019;CA1;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;KEGG-MEDICUS;Kirouac2010;LRdb;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;Sparser_ProtMapper;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:1852007;Baccin2019:2877871;CA1:8408032;CellChatDB:14604834;CellTalkDB:2877871;Cellinker:14604834;Cellinker:1852007;Cellinker:2877871;DIP:11287679;DIP:21645859;HPMR:2877871;HPRD:1852007;IntAct:21645859;IntAct:8452530;LRdb:185;LRdb:2877871;ProtMapper:19258508;ProtMapper:23675206;SIGNOR:19029956;SIGNOR:21798082;SPIKE:1852007;SignaLink3:12067807;SignaLink3:1852007;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:1852007;connectomeDB2020:2877871",27,15,26,"both",TRUE
"5","JAG1_NOTCH1","JAG1","jagged canonical Notch ligand 1","NOTCH1","notch receptor 1",NA,"P78504","P46531",1,1,1,1,1,0,"ACSN;Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;IntAct;KEGG-MEDICUS;Kirouac2010;LRdb;Lit-BM-17;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr","ACSN:22330899;ACSN:22363130;Baccin2019:769772111006133;BioGRID:11006133;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;Cellinker:7697721;DIP:18660822;HPMR:7697721;HPRD:11006133;ICELLNET:15137944;ICELLNET:16921404;ICELLNET:18292500;IntAct:18660822;IntAct:23086448;LRdb:11;LRdb:7697721;Lit-BM-17:11006133;Lit-BM-17:18660822;Lit-BM-17:21820430;NetPath:11006133;SIGNOR:18660822;SPIKE:11006133;SPIKE:16713569;SPIKE:17537801;SPIKE:18495817;SignaLink3:10958687;SignaLink3:11006133;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11006133;connectomeDB2020:7697721",36,20,27,"both",TRUE
"6","WNT5A_FZD2","WNT5A","Wnt family member 5A","FZD2","frizzled class receptor 2",NA,"P41221","Q14332",1,1,1,1,1,0,"Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr","Baccin2019:9389482;CellPhoneDB:24032637;CellTalkDB:24032637;Cellinker:9389482;LRdb:9389482;NetPath:19910923;SIGNOR:19008118;SIGNOR:19910923;SIGNOR:2808370;SPIKE:19910923;connectomeDB2020:19910923;connectomeDB2020:9389482",12,5,16,"both",TRUE
"7","EPO_EPOR","EPO","erythropoietin","EPOR","erythropoietin receptor",NA,"P01588","P19235",1,1,0,1,1,0,"Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;IntAct;Kirouac2010;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10318834;Baccin2019:16982323;Baccin2019:9442088;Baccin2019:9808045;BioGRID:10318834;BioGRID:15358619;BioGRID:17327410;BioGRID:9808045;Cellinker:10318834;Cellinker:16982323;Cellinker:9442088;Cellinker:9808045;DIP:10318834;DIP:8662939;DIP:9030560;DIP:9774108;Guide2Pharma:16982323;HPMR:9442088;HPRD:10318834;HPRD:9808045;ICELLNET:2163696;ICELLNET:9974393;InnateDB:21889455;InnateDB:9774108;IntAct:29997244;IntAct:9774108;LRdb:10318834;LRdb:16982323;LRdb:9442088;LRdb:9808045;Lit-BM-17:10318834;Lit-BM-17:15358619;Lit-BM-17:17327410;Lit-BM-17:8662939;Lit-BM-17:9030560;Lit-BM-17:9774108;Lit-BM-17:9808045;SIGNOR:9442088;SIGNOR:9774108;SPIKE:18586265;SignaLink3:23331499;SignaLink3:9774108;connectomeDB2020:10318834;connectomeDB2020:16982323;connectomeDB2020:9442088;connectomeDB2020:9808045;scConnect:16982323",47,15,26,"both",TRUE
"8","CCL3L1_CCR5","CCL3L1","C-C motif chemokine ligand 3 like 1","CCR5","C-C motif chemokine receptor 5",NA,"P16619","P51681",1,1,0,1,1,0,"Baccin2019;BioGRID;CellCall;CellTalkDB;Cellinker;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr","Baccin2019:10364178;Baccin2019:10477718;Baccin2019:11170631;Baccin2019:11700073;Baccin2019:11734558;Baccin2019:12964882;Baccin2019:16298345;Baccin2019:9790730;BioGRID:11734558;CellTalkDB:10364178;Cellinker:10364178;Cellinker:11449371;Cellinker:11734558;HPRD:10364178;HPRD:11449371;HPRD:11734558;ICELLNET:22633458;LRdb:11;LRdb:11734558;SPIKE:11734558;connectomeDB2020:10364178;connectomeDB2020:11449371;connectomeDB2020:11734558",23,11,14,"both",TRUE
"9","TNFSF10_TNFRSF10C","TNFSF10","TNF superfamily member 10","TNFRSF10C","TNF receptor superfamily member 10c",NA,"P50591","O14798",1,1,1,1,1,0,"CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;LRdb;Lit-BM-17;Ramilowski2015;SPIKE;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:9314565;Cellinker:9314565;Cellinker:9325248;Cellinker:9613612;HPMR:9325248;HPRD:9314565;HPRD:9325248;HPRD:9613612;ICELLNET:11239407;LRdb:9314565;LRdb:9325248;LRdb:9613612;Lit-BM-17:20103630;Lit-BM-17:9325248;SPIKE:9082980;SPIKE:9314565;connectomeDB2020:9314565;connectomeDB2020:9325248;connectomeDB2020:9613612",19,6,15,"both",TRUE
"10","IGF2_IGF2R","IGF2","insulin like growth factor 2","IGF2R","insulin like growth factor 2 receptor",NA,"P01344","P11717",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;DOMINO;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr","Baccin2019:2964083;Baccin2019:7797478;Baccin2019:9722981;CellChatDB:14604834;CellTalkDB:2964083;Cellinker:14604834;Cellinker:2964083;Cellinker:7797478;Cellinker:9722981;DIP:11502794;DIP:17850746;DOMINO:18046459;HPMR:2852162;HPMR:2964083;HPRD:7797478;HPRD:9722981;LRdb:2964083;LRdb:7797478;LRdb:9722981;Lit-BM-17:11502794;Lit-BM-17:17850746;Lit-BM-17:18046459;SIGNOR:11867533;SPIKE:18046459;SPIKE:20980691;connectomeDB2020:2964083;connectomeDB2020:7797478;connectomeDB2020:9722981",29,10,19,"both",TRUE
